Time	Position
1.406	0.594602
1.407	0.601539
1.408	0.608475
1.409	0.615409
1.41	0.622341
1.411	0.629272
1.412	0.636202
1.413	0.643129
1.414	0.650055
1.415	0.656979
1.416	0.663902
1.417	0.670823
1.418	0.677742
1.419	0.684659
1.42	0.691575
1.421	0.698488
1.422	0.7054
1.423	0.71231
1.424	0.719217
1.425	0.726123
1.426	0.733027
1.427	0.739929
1.428	0.746829
1.429	0.753727
1.43	0.760622
1.431	0.767516
1.432	0.774407
1.433	0.781297
1.434	0.788184
1.435	0.795068
1.436	0.801951
1.437	0.808831
1.438	0.815708
1.439	0.822584
1.44	0.829456
1.441	0.836327
1.442	0.843195
1.443	0.85006
1.444	0.856923
1.445	0.863783
1.446	0.87064
1.447	0.877495
1.448	0.884347
1.449	0.891196
1.45	0.898042
1.451	0.904886
1.452	0.911726
1.453	0.918564
1.454	0.925398
1.455	0.932229
1.456	0.939058
1.457	0.945883
1.458	0.952705
1.459	0.959523
1.46	0.966338
1.461	0.97315
1.462	0.979958
1.463	0.986763
1.464	0.993565
1.465	1.00036
1.466	1.00716
1.467	1.01395
1.468	1.02073
1.469	1.02751
1.47	1.03429
1.471	1.04107
1.472	1.04784
